group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
conv,KeyGenForAccumConv,128,128,elements,1583973981.0,ns,1
conv,KeyGenForAccumConv,128,128,elements,2333950636.0,ns,1
conv,KeyGenForAccumConv,128,128,elements,1677957112.0,ns,1
conv,KeyGenForAccumConv,128,128,elements,1344504635.0,ns,1
conv,KeyGenForAccumConv,128,128,elements,1372293320.0,ns,1
conv,KeyGenForAccumConv,128,128,elements,1367066614.0,ns,1
conv,KeyGenForAccumConv,128,128,elements,1654630000.0,ns,1
conv,KeyGenForAccumConv,128,128,elements,1366593127.0,ns,1
conv,KeyGenForAccumConv,128,128,elements,1590971921.0,ns,1
conv,KeyGenForAccumConv,128,128,elements,1278122429.0,ns,1
