group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
conv,ProofForAccumConv,16,16,elements,5902411812.0,ns,1
conv,ProofForAccumConv,16,16,elements,5728842664.0,ns,1
conv,ProofForAccumConv,16,16,elements,5696896164.0,ns,1
conv,ProofForAccumConv,16,16,elements,5571814254.0,ns,1
conv,ProofForAccumConv,16,16,elements,5706641363.0,ns,1
conv,ProofForAccumConv,16,16,elements,5916885015.0,ns,1
conv,ProofForAccumConv,16,16,elements,5376821013.0,ns,1
conv,ProofForAccumConv,16,16,elements,5831996428.0,ns,1
conv,ProofForAccumConv,16,16,elements,6001484484.0,ns,1
conv,ProofForAccumConv,16,16,elements,8024084055.0,ns,1
conv,ProofForAccumConv,16,16,elements,8950375597.0,ns,1
conv,ProofForAccumConv,16,16,elements,5630703272.0,ns,1
conv,ProofForAccumConv,16,16,elements,5390678303.0,ns,1
conv,ProofForAccumConv,16,16,elements,5586875669.0,ns,1
conv,ProofForAccumConv,16,16,elements,5757438259.0,ns,1
conv,ProofForAccumConv,16,16,elements,7515926211.0,ns,1
conv,ProofForAccumConv,16,16,elements,9156267959.0,ns,1
conv,ProofForAccumConv,16,16,elements,7746667626.0,ns,1
conv,ProofForAccumConv,16,16,elements,6720676438.0,ns,1
conv,ProofForAccumConv,16,16,elements,9317589514.0,ns,1
