group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
conv,ProofForAccumConv,32,32,elements,6466234442.0,ns,1
conv,ProofForAccumConv,32,32,elements,6175445637.0,ns,1
conv,ProofForAccumConv,32,32,elements,6050341799.0,ns,1
conv,ProofForAccumConv,32,32,elements,6260988849.0,ns,1
conv,ProofForAccumConv,32,32,elements,6231244166.0,ns,1
conv,ProofForAccumConv,32,32,elements,6663958825.0,ns,1
conv,ProofForAccumConv,32,32,elements,6214615829.0,ns,1
conv,ProofForAccumConv,32,32,elements,6082155882.0,ns,1
conv,ProofForAccumConv,32,32,elements,6341672848.0,ns,1
conv,ProofForAccumConv,32,32,elements,6126137489.0,ns,1
conv,ProofForAccumConv,32,32,elements,5952717159.0,ns,1
conv,ProofForAccumConv,32,32,elements,6444770353.0,ns,1
conv,ProofForAccumConv,32,32,elements,6427384240.0,ns,1
conv,ProofForAccumConv,32,32,elements,6151577675.0,ns,1
conv,ProofForAccumConv,32,32,elements,6278711126.0,ns,1
conv,ProofForAccumConv,32,32,elements,6021409494.0,ns,1
conv,ProofForAccumConv,32,32,elements,6395169257.0,ns,1
conv,ProofForAccumConv,32,32,elements,6195484465.0,ns,1
conv,ProofForAccumConv,32,32,elements,6107854950.0,ns,1
conv,ProofForAccumConv,32,32,elements,6261925451.0,ns,1
