group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
conv,ProofForOneGate,32,32,elements,29983872.0,ns,1
conv,ProofForOneGate,32,32,elements,62346322.0,ns,2
conv,ProofForOneGate,32,32,elements,140429855.0,ns,3
conv,ProofForOneGate,32,32,elements,168274935.0,ns,4
conv,ProofForOneGate,32,32,elements,242851118.0,ns,5
conv,ProofForOneGate,32,32,elements,192351771.0,ns,6
conv,ProofForOneGate,32,32,elements,246166746.0,ns,7
conv,ProofForOneGate,32,32,elements,316008621.0,ns,8
conv,ProofForOneGate,32,32,elements,398329834.0,ns,9
conv,ProofForOneGate,32,32,elements,345965230.0,ns,10
conv,ProofForOneGate,32,32,elements,399235650.0,ns,11
conv,ProofForOneGate,32,32,elements,352820114.0,ns,12
conv,ProofForOneGate,32,32,elements,510634902.0,ns,13
conv,ProofForOneGate,32,32,elements,435154148.0,ns,14
conv,ProofForOneGate,32,32,elements,524688320.0,ns,15
conv,ProofForOneGate,32,32,elements,494199756.0,ns,16
conv,ProofForOneGate,32,32,elements,510214151.0,ns,17
conv,ProofForOneGate,32,32,elements,527258142.0,ns,18
conv,ProofForOneGate,32,32,elements,581086568.0,ns,19
conv,ProofForOneGate,32,32,elements,819346068.0,ns,20
