group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
conv,ProofForOneGate,512,512,elements,21616371.0,ns,5
conv,ProofForOneGate,512,512,elements,43857297.0,ns,10
conv,ProofForOneGate,512,512,elements,66532533.0,ns,15
conv,ProofForOneGate,512,512,elements,108443845.0,ns,20
conv,ProofForOneGate,512,512,elements,136675830.0,ns,25
conv,ProofForOneGate,512,512,elements,138158141.0,ns,30
conv,ProofForOneGate,512,512,elements,177932740.0,ns,35
conv,ProofForOneGate,512,512,elements,213137043.0,ns,40
conv,ProofForOneGate,512,512,elements,469017994.0,ns,45
conv,ProofForOneGate,512,512,elements,340917227.0,ns,50
conv,ProofForOneGate,512,512,elements,400058175.0,ns,55
conv,ProofForOneGate,512,512,elements,323594900.0,ns,60
conv,ProofForOneGate,512,512,elements,316052860.0,ns,65
conv,ProofForOneGate,512,512,elements,323154347.0,ns,70
conv,ProofForOneGate,512,512,elements,382268963.0,ns,75
conv,ProofForOneGate,512,512,elements,422330975.0,ns,80
conv,ProofForOneGate,512,512,elements,467223065.0,ns,85
conv,ProofForOneGate,512,512,elements,550851330.0,ns,90
conv,ProofForOneGate,512,512,elements,558660078.0,ns,95
conv,ProofForOneGate,512,512,elements,541776891.0,ns,100
