group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,KeyGen,128,128,elements,45958350.0,ns,4
dot,KeyGen,128,128,elements,51040995.0,ns,8
dot,KeyGen,128,128,elements,81563800.0,ns,12
dot,KeyGen,128,128,elements,106792965.0,ns,16
dot,KeyGen,128,128,elements,159469672.0,ns,20
dot,KeyGen,128,128,elements,154039286.0,ns,24
dot,KeyGen,128,128,elements,182598705.0,ns,28
dot,KeyGen,128,128,elements,265353065.0,ns,32
dot,KeyGen,128,128,elements,201219775.0,ns,36
dot,KeyGen,128,128,elements,261278307.0,ns,40
dot,KeyGen,128,128,elements,295195751.0,ns,44
dot,KeyGen,128,128,elements,300064393.0,ns,48
dot,KeyGen,128,128,elements,301663492.0,ns,52
dot,KeyGen,128,128,elements,323598238.0,ns,56
dot,KeyGen,128,128,elements,355326738.0,ns,60
dot,KeyGen,128,128,elements,390974298.0,ns,64
dot,KeyGen,128,128,elements,488163935.0,ns,68
dot,KeyGen,128,128,elements,469259953.0,ns,72
dot,KeyGen,128,128,elements,472508343.0,ns,76
dot,KeyGen,128,128,elements,518694593.0,ns,80
