group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,KeyGen,16,16,elements,27275130.0,ns,3
dot,KeyGen,16,16,elements,75769098.0,ns,6
dot,KeyGen,16,16,elements,256700561.0,ns,9
dot,KeyGen,16,16,elements,160773200.0,ns,12
dot,KeyGen,16,16,elements,103999272.0,ns,15
dot,KeyGen,16,16,elements,122020714.0,ns,18
dot,KeyGen,16,16,elements,139094077.0,ns,21
dot,KeyGen,16,16,elements,155000437.0,ns,24
dot,KeyGen,16,16,elements,177784906.0,ns,27
dot,KeyGen,16,16,elements,251596596.0,ns,30
dot,KeyGen,16,16,elements,291169363.0,ns,33
dot,KeyGen,16,16,elements,203432944.0,ns,36
dot,KeyGen,16,16,elements,244439225.0,ns,39
dot,KeyGen,16,16,elements,270168388.0,ns,42
dot,KeyGen,16,16,elements,274552405.0,ns,45
dot,KeyGen,16,16,elements,302624575.0,ns,48
dot,KeyGen,16,16,elements,351460118.0,ns,51
dot,KeyGen,16,16,elements,359198729.0,ns,54
dot,KeyGen,16,16,elements,394952617.0,ns,57
dot,KeyGen,16,16,elements,335029996.0,ns,60
