group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,KeyGenForAccumConv,4,4,elements,1262271980.0,ns,1
dot,KeyGenForAccumConv,4,4,elements,1239123189.0,ns,1
dot,KeyGenForAccumConv,4,4,elements,1306511031.0,ns,1
dot,KeyGenForAccumConv,4,4,elements,1347031456.0,ns,1
dot,KeyGenForAccumConv,4,4,elements,1274928928.0,ns,1
dot,KeyGenForAccumConv,4,4,elements,1238214791.0,ns,1
dot,KeyGenForAccumConv,4,4,elements,1274267834.0,ns,1
dot,KeyGenForAccumConv,4,4,elements,1236745755.0,ns,1
dot,KeyGenForAccumConv,4,4,elements,1223196021.0,ns,1
dot,KeyGenForAccumConv,4,4,elements,1231458161.0,ns,1
