group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
dot,Prove,64,64,elements,360579882.0,ns,2
dot,Prove,64,64,elements,430379213.0,ns,2
dot,Prove,64,64,elements,350179112.0,ns,2
dot,Prove,64,64,elements,345692577.0,ns,2
dot,Prove,64,64,elements,292542013.0,ns,2
dot,Prove,64,64,elements,287923800.0,ns,2
dot,Prove,64,64,elements,380541911.0,ns,2
dot,Prove,64,64,elements,340666220.0,ns,2
dot,Prove,64,64,elements,289072498.0,ns,2
dot,Prove,64,64,elements,372538410.0,ns,2
dot,Prove,64,64,elements,328533638.0,ns,2
dot,Prove,64,64,elements,322245971.0,ns,2
dot,Prove,64,64,elements,324276235.0,ns,2
dot,Prove,64,64,elements,348433418.0,ns,2
dot,Prove,64,64,elements,363549495.0,ns,2
dot,Prove,64,64,elements,307867504.0,ns,2
dot,Prove,64,64,elements,300011410.0,ns,2
dot,Prove,64,64,elements,286082958.0,ns,2
dot,Prove,64,64,elements,347062941.0,ns,2
dot,Prove,64,64,elements,280802235.0,ns,2
